CustomerID,Age,Gender,City,TenureMonths,PlanType,MonthlyCharges,InternetSpeedMbps,SupportTickets,PaymentDelayDays,ContractType,Churn
100000,65,Female,Pune,12,Standard,3028.38,1000,2,28,Annual,0
100001,22,Female,Pune,118,Premium,3012.55,200,1,18,Monthly,0
100002,43,Female,Hyderabad,5,Basic,1090.61,500,0,29,Annual,0
100003,72,Male,Delhi,27,Standard,1337.66,1000,4,0,Annual,0
100004,21,Male,Delhi,14,Basic,710.84,50,0,15,Annual,0
100005,37,Male,Delhi,5,Basic,3839.49,50,1,13,Biannual,1
100006,41,Male,Delhi,104,Standard,1800.7,200,3,0,Monthly,0
100007,57,Female,Mumbai,84,Premium,510.0,200,1,1,Biannual,0
100008,46,Female,Hyderabad,42,Premium,3686.25,200,2,14,Annual,0
100009,32,Male,Chennai,35,Basic,645.98,100,2,7,Annual,0
100010,41,Female,Delhi,8,Basic,1671.11,200,2,9,Monthly,0
100011,26,Male,Delhi,3,Standard,3545.53,50,1,25,Monthly,0
100012,43,Female,Chennai,28,Premium,3526.14,50,3,21,Monthly,0
100013,64,Female,Mumbai,47,Standard,2532.26,50,2,19,Monthly,0
100014,60,Female,Delhi,117,Basic,1751.7,50,1,22,Biannual,0
100015,44,Female,Pune,47,Premium,3673.59,200,2,23,Annual,1
100016,26,Male,Bengaluru,88,Premium,2772.98,100,3,25,Annual,1
100017,57,Female,Hyderabad,87,Standard,1417.15,500,5,19,Monthly,0
100018,56,Male,Mumbai,76,Basic,3193.74,1000,3,27,Biannual,0
100019,22,Female,Kolkata,98,Premium,1001.63,1000,2,2,Monthly,0
100020,66,Female,Mumbai,108,Basic,657.61,50,2,11,Annual,0
100021,25,Male,Pune,12,Standard,3713.29,200,1,14,Monthly,1
100022,62,Male,Kolkata,53,Basic,1973.12,1000,5,23,Monthly,1
100023,18,Male,Hyderabad,36,Standard,481.48,50,3,19,Monthly,0
100024,29,Female,Chennai,41,Standard,2514.34,200,2,17,Monthly,0
100025,73,Female,Bengaluru,4,Basic,2717.29,50,4,23,Annual,0
100026,24,Male,Pune,52,Standard,1990.94,1000,0,9,Monthly,0
100027,37,Male,Kolkata,82,Premium,3731.44,500,1,12,Monthly,0
100028,62,Female,Hyderabad,53,Standard,1819.66,50,2,27,Annual,0
100029,23,Male,Bengaluru,83,Family,1240.28,1000,2,9,Monthly,0
100030,74,Female,Kolkata,67,Basic,840.79,1000,4,11,Annual,0
100031,42,Male,Hyderabad,89,Family,1183.9,200,1,28,Annual,0
100032,73,Female,Pune,30,Premium,2178.95,50,0,24,Monthly,0
100033,71,Female,Kolkata,17,Family,2878.62,500,2,0,Monthly,0
100034,66,Male,Mumbai,107,Premium,1147.56,50,1,17,Biannual,0
100035,18,Female,Hyderabad,6,Premium,1459.16,500,2,17,Monthly,1
100036,52,Female,Delhi,46,Premium,3532.45,50,3,15,Annual,0
100037,74,Male,Mumbai,59,Premium,1721.73,500,1,13,Annual,0
100038,27,Male,Bengaluru,4,Basic,3286.06,200,1,20,Annual,0
100039,32,Female,Mumbai,99,Standard,1020.28,100,0,27,Monthly,0
100040,56,Female,Bengaluru,104,Standard,607.77,500,1,6,Biannual,0
100041,22,Other,Bengaluru,35,Basic,964.74,50,2,1,Annual,0
100042,64,Female,Delhi,75,Basic,465.36,50,2,10,Monthly,1
100043,27,Male,Chennai,17,Family,213.26,100,1,5,Monthly,1
100044,41,Male,Bengaluru,49,Basic,2726.63,50,1,8,Biannual,1
100045,53,Female,Chennai,100,Family,3601.97,500,1,24,Annual,1
100046,21,Female,Chennai,90,Basic,2147.89,200,3,28,Annual,0
100047,26,Female,Mumbai,34,Basic,1737.96,50,3,2,Monthly,0
100048,37,Female,Delhi,40,Standard,888.74,500,1,10,Monthly,1
100049,66,Female,Mumbai,87,Standard,541.42,500,3,3,Annual,0
100050,19,Female,Chennai,9,Standard,302.13,100,2,20,Annual,1
100051,18,Male,Pune,28,Basic,3039.54,1000,2,0,Monthly,0
100052,34,Female,Hyderabad,7,Standard,220.51,500,1,20,Monthly,0
100053,72,Female,Delhi,41,Premium,2020.99,500,2,20,Annual,0
100054,49,Male,Hyderabad,76,Standard,3761.82,100,0,25,Monthly,0
100055,47,Female,Pune,23,Basic,3478.5,500,2,17,Monthly,1
100056,62,Male,Delhi,110,Standard,3045.6,50,0,1,Annual,1
100057,46,Female,Chennai,10,Standard,2622.07,500,1,16,Monthly,0
100058,25,Male,Hyderabad,95,Basic,1344.26,1000,2,2,Annual,0
100059,41,Female,Kolkata,23,Family,414.03,200,3,13,Monthly,0
100060,28,Female,Kolkata,55,Basic,3899.71,200,1,24,Annual,0
100061,59,Female,Pune,33,Premium,2172.93,500,3,3,Monthly,0
100062,53,Male,Mumbai,97,Standard,2600.56,1000,0,0,Annual,1
100063,18,Female,Chennai,41,Standard,561.54,500,2,2,Biannual,0
100064,25,Male,Hyderabad,109,Basic,260.71,200,2,14,Monthly,1
100065,41,Female,Hyderabad,93,Standard,1977.14,50,1,16,Annual,0
100066,46,Male,Kolkata,44,Basic,375.18,50,4,29,Monthly,0
100067,73,Male,Delhi,5,Basic,1185.11,200,1,20,Annual,1
100068,50,Female,Hyderabad,108,Premium,3814.3,500,2,19,Monthly,0
100069,39,Male,Pune,38,Family,2022.68,50,2,7,Monthly,0
100070,54,Female,Mumbai,22,Standard,2881.61,50,0,5,Annual,0
100071,53,Female,Chennai,59,Basic,1547.95,500,2,18,Monthly,0
100072,51,Female,Delhi,51,Standard,1629.04,100,1,25,Monthly,0
100073,21,Female,Kolkata,4,Basic,2519.44,500,2,12,Annual,0
100074,45,Female,Pune,25,Premium,858.32,50,1,14,Monthly,0
100075,51,Male,Bengaluru,19,Family,1356.32,100,2,10,Monthly,0
100076,37,Female,Mumbai,70,Standard,3093.85,500,2,2,Annual,0
100077,45,Male,Pune,54,Family,3960.37,500,1,28,Monthly,1
100078,22,Male,Delhi,46,Basic,3917.15,200,1,9,Monthly,1
100079,37,Male,Delhi,25,Basic,1061.95,1000,4,22,Annual,1
100080,51,Female,Hyderabad,29,Premium,2190.2,500,2,29,Biannual,0
100081,48,Male,Delhi,93,Basic,1859.0,500,1,26,Annual,0
100082,55,Female,Hyderabad,53,Basic,3494.26,1000,3,4,Monthly,0
100083,27,Male,Mumbai,83,Basic,774.59,200,1,0,Monthly,0
100084,47,Other,Pune,30,Standard,2894.1,500,2,25,Annual,0
100085,35,Female,Kolkata,95,Premium,938.58,500,1,16,Monthly,0
100086,49,Male,Hyderabad,84,Standard,2396.5,200,0,18,Monthly,0
100087,20,Female,Mumbai,37,Standard,2427.86,50,1,16,Annual,0
100088,37,Male,Hyderabad,15,Premium,220.46,200,3,14,Monthly,1
100089,68,Female,Kolkata,63,Standard,3367.14,50,4,14,Biannual,1
100090,36,Other,Hyderabad,97,Basic,911.86,200,1,22,Annual,0
100091,39,Female,Chennai,100,Basic,2647.31,500,6,0,Monthly,0
100092,73,Female,Mumbai,99,Basic,1465.38,100,3,29,Monthly,0
100093,21,Male,Mumbai,67,Standard,268.11,50,0,1,Annual,0
100094,29,Female,Chennai,44,Premium,2997.54,200,3,21,Annual,0
100095,65,Female,Bengaluru,34,Family,911.48,100,0,28,Monthly,0
100096,34,Male,Mumbai,33,Premium,3287.24,100,3,13,Annual,0
100097,30,Female,Bengaluru,20,Basic,584.07,1000,4,6,Biannual,0
100098,47,Male,Pune,96,Standard,3154.23,50,2,28,Monthly,1
100099,61,Female,Pune,57,Premium,3017.07,100,2,15,Monthly,0
100100,59,Male,Bengaluru,48,Premium,3707.91,50,2,26,Monthly,0
100101,27,Male,Kolkata,39,Standard,224.36,100,3,15,Annual,0
100102,30,Other,Bengaluru,93,Basic,2210.69,100,3,17,Biannual,0
100103,21,Female,Bengaluru,9,Standard,3749.18,100,1,5,Monthly,0
100104,64,Male,Hyderabad,118,Premium,1737.15,100,1,26,Biannual,0
100105,32,Male,Pune,87,Premium,2676.44,500,5,15,Monthly,1
100106,38,Male,Kolkata,47,Premium,2939.36,1000,5,1,Monthly,0
100107,71,Male,Pune,30,Premium,3901.89,1000,3,22,Annual,1
100108,33,Male,Mumbai,74,Premium,1775.07,50,1,20,Monthly,0
100109,53,Female,Chennai,27,Standard,2171.35,100,3,11,Monthly,0
100110,66,Female,Pune,106,Standard,2644.45,50,1,29,Monthly,0
100111,22,Female,Kolkata,41,Standard,1471.64,100,2,28,Monthly,0
100112,61,Male,Hyderabad,94,Standard,1650.42,500,3,2,Biannual,0
100113,26,Female,Hyderabad,43,Premium,3116.21,50,2,0,Monthly,1
100114,44,Male,Chennai,86,Premium,3993.03,1000,6,4,Annual,0
100115,72,Male,Bengaluru,15,Premium,1681.76,500,0,19,Biannual,0
100116,61,Female,Hyderabad,55,Premium,453.29,50,3,14,Monthly,1
100117,65,Other,Delhi,16,Basic,2953.01,1000,1,19,Monthly,0
100118,41,Female,Hyderabad,17,Basic,3752.49,100,4,17,Monthly,1
100119,31,Female,Bengaluru,101,Standard,3441.58,50,4,9,Annual,0
100120,68,Male,Kolkata,35,Basic,1348.82,50,1,22,Monthly,0
